Set,Question Number,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Explanation/Logic
Set5,3,Which logic gate is considered a universal gate?,AND,OR,NAND,XOR,c,"NAND (and NOR) are universal gates."
Set5,4,"In 8086 microprocessor, which 16-bit register points to top of stack?",SP,BP,SI,DI,a,"Stack Pointer (SP)."
Set5,5,What data structure stores all information about a process in an OS?,File Control Block (FCB),Process Control Block (PCB),Task Management Table,Segment Register,b,"PCB stores process information."
Set5,6,"The term ""Instructions per second"" indicates:",Memory speed,CPU clock speed,Processing performance,Cache efficiency,c,"IPS is a performance metric."
Set5,7,Zener diode is mainly used as:,Rectifier,Oscillator,Voltage regulator,Amplifier,c,"Zener diode regulates voltage."
Set5,8,Syntax of a friend function in C++ is:,"friend void function();","void friend function();","friend function void();","void function void();",a,"friend return_type function_name();"
Set5,9,Which protocol is used for real-time applications?,TCP,FTP,UDP,HTTP,c,"UDP is low-latency for real-time."
Set5,10,"Dominance Law in Boolean algebra states:","A + 0 = A","A + 1 = 1","A · 1 = A","A · 0 = 0",a,"A+0 = A is identity law."
Set5,11,Ratio of height to width of a screen is called:,Resolution,Aspect ratio,Pixel density,Frame rate,b,"Aspect ratio (e.g., 16:9)."
Set5,12,One major advantage of linked list over array is:,Faster access,Fixed size,Dynamic size,Less memory usage,c,"Dynamic size is key advantage."
Set5,13,"Space and time complexity of a linked list is:","O(n) space, O(1) insertion","O(1) space, O(n) insertion","O(n) space, O(n) insertion","O(1) space, O(1) insertion",a,"Insertion at head is O(1), space O(n)."
Set5,14,Zener diode allows reverse current when:,Forward biased,Breakdown voltage reached,Reverse biased slightly,Zero voltage,b,"Zener breakdown allows reverse current."
Set5,15,Function used to close a file in C++ is:,close(),end(),fclose(),fileclose(),a,"close() is C++ method."
Set5,16,Number of phase shifts required in an RC oscillator is:,90°,180°,270°,360°,b,"180° phase shift for oscillation."
Set5,17,A network process is uniquely identified by:,MAC address,Port number,"IP address + Port number",URL,c,"Socket = IP + port."
Set5,18,Which flip-flop does NOT suffer from race-around condition?,SR,JK,T,Master-Slave JK,d,"Master-slave JK eliminates race."
Set5,19,Aspect ratio means:,Screen size,Pixel count,Ratio of width to height,Frame resolution,c,"Width:Height ratio."
Set5,20,Naive Bayes is:,Regression algorithm,Clustering algorithm,Classification algorithm,Sorting algorithm,c,"Naive Bayes is a classifier."
Set5,21,Necessary conditions for deadlock include:,"Mutual exclusion, hold & wait, no preemption, circular wait",Starvation,Paging,Scheduling,a,"The four necessary conditions."
Set5,22,Process Control Block (PCB) stores:,Program code,Process information,Stack memory,I/O devices,b,"PCB stores process state, registers, etc."
Set5,23,Context-free grammar is used in:,Lexical analysis,Syntax analysis,Semantic analysis,Code optimization,b,"CFG is used for parsing (syntax analysis)."
Set5,24,Host IP address refers to:,Network address,Broadcast address,Device identifier in a network,Gateway address,c,"Host address identifies a device."
Set5,25,Interrupt instruction in 8085 microprocessor is:,INT,RST,CALL,TRAP,b,"RST is restart instruction."
Set5,26,Which line clipping algorithm is used in computer graphics?,Bresenham,Cohen-Sutherland,DDA,Flood fill,b,"Cohen-Sutherland line clipping."
Set5,27,How many layers are there in the OSI model?,5,6,7,8,c,"7 layers."
Set5,28,Out of 7 NEC members, minimum number of female members required?,1,2,3,4,b,"At least 2 female members."
Set5,29,All keywords in C are in:,Lower Case letters,Upper Case letters,Camel Case letters,None of the mentioned,a,"C keywords are lowercase."
Set5,30,Line voltage equals phase voltage in which connection?,Delta connection,Star connection,Series connection,Parallel connection,a,"In delta, VL = VP."
Set5,31,What is the voltage equation of a sinusoidal waveform?,"v = Vt","v = Vm sin(ωt)","v = V/ω","v = V cos t",b,"Standard sinusoidal voltage."
Set5,32,"Relationship between line and phase voltage in star connection:","VL = VP","VL = √3 VP","VP = √3 VL","VL = 3 VP",b,"VL = √3 × VP."
Set5,33,Zener diode is mainly used for:,Amplification,Regulation,Switching,Rectification,b,"Voltage regulation."
Set5,34,Deadlock is a situation where:,CPU is idle,Processes wait indefinitely,Memory overflow occurs,Paging happens,b,"Deadlock = indefinite waiting."
Set5,35,"Distortion is high and linearity is low in which amplifier?",Class A,Class B,Class AB,Class C,d,"Class C has high distortion."
Set5,36,A NULL pointer stores:,Address 0,Garbage value,Address of a variable,Random value,a,"NULL pointer points to address 0."
Set5,37,"In star-delta transformation, if star impedance is Z, delta impedance is:",Z,3Z,Z/3,9Z,b,"ZΔ = 3 ZY."
Set5,38,Project risk management deals with:,Cost estimation,Identifying and controlling risks,Scheduling,Procurement,b,"Risk management identifies/controls risks."
Set5,39,Which flip-flop does not suffer from race-around condition?,JK,SR,T,Master-Slave JK,d,"Master-slave JK."
Set5,40,Which logic gate is used to detect overflow?,NAND,AND,OR,XOR,a,"NAND? Actually XOR is common; source says NAND."
Set5,41,"In which network architecture do all computers have equal power?",Client-server network,Hierarchical network,Peer-to-peer (P2P) network,Centralized network,c,"P2P has equal peers."
Set5,42,"The value of alpha (α) in project management represents:",Cost factor,Risk factor,Learning curve exponent,Efficiency factor,c,"Learning curve exponent."
Set5,43,Space complexity of Greedy Best First Search is:,O(1),O(b^d),O(bd),O(d),b,"O(b^d) in worst case."
Set5,44,How many types of parsing are there?,One,Two,Three,Four,b,"Top-down and bottom-up."
Set5,45,Which is the fastest memory?,Register,Cache,RAM,Disk,a,"Registers are fastest."
Set5,46,The loopback network address is:,192.168.1.1,127.0.0.1,255.255.255.0,0.0.0.0,b,"127.0.0.1."
Set5,47,"If a 3 Ω resistor is connected in delta, its equivalent star resistance is:",1 Ω,3 Ω,6 Ω,9 Ω,a,"RY = RΔ/3 = 1 Ω."
Set5,48,"Types of parsing are:",Predictive and recursive,Top-down and bottom-up,Lexical and syntax,Static and dynamic,b,"Top-down and bottom-up."
Set5,49,Space complexity of Best First Search is:,O(d),O(b^d),O(bd),O(1),b,"O(b^d)."
Set5,50,Which is NOT a keyword in C?,if,while,fun,for,c,"'fun' is not a C keyword."
Set5,51,A bar chart is mainly suitable for:,Large and complex project,Small project,Research project,Uncertain project,b,"Bar chart (Gantt) for small projects."
Set5,52,Warshall algorithm is used to find:,Shortest path,Minimum spanning tree,Transitive closure,Maximum flow,c,"Warshall finds transitive closure."
Set5,53,Constructors in inheritance are invoked in:,Derived to base order,Base to derived order,Random order,Reverse order,b,"Base → Derived."
Set5,54,Single inheritance means:,One base and multiple derived,Multiple base classes,One base and one derived class,Multiple inheritance,c,"Single base, single derived."
Set5,55,Size of address bus in 8086 microprocessor is:,8-bit,16-bit,20-bit,32-bit,c,"8086 has 20-bit address bus."
Set5,56,A circular queue is full when:,rear = front,"rear = front - 1","(rear + 1) % size = front","rear = size",c,"Full condition."
Set5,57,Full form of PERT is:,Program Evaluation and Review Technique,Project Evaluation and Review Tool,Process Evaluation Review Technique,Project Execution Review Tool,a,"Program Evaluation and Review Technique."
Set5,58,Depreciation at 20% of 20,000 is:,2000,3000,4000,5000,c,"20,000 × 0.20 = 4,000."
Set5,59,"For binary search, an array must be:",Random,Sorted,Reversed,Indexed,b,"Sorted array required."
Set5,60,Which is NOT involved in Theory of Computation?,Automata Theory,Computability Theory,Complexity Theory,Computational Theory,d,"'Computational Theory' is vague; the three are Automata, Computability, Complexity."
Set5,61,"If all cells in a 4x4 K-map are 1, the simplified output is:",0,1,A + B,A - B,b,"Output = 1."
Set5,62,"Regarding static functions, which statement is true?",They are global,Scope is limited to file,They can be inherited,They are dynamic,b,"Static functions have file scope."
Set5,63,"STL container that uses key-value pairs is:",Vector,Map,Stack,Queue,b,"std::map."
Set5,64,FET is a:,Current-controlled device,Voltage-controlled device,Both,Neither,b,"FET is voltage-controlled."
Set5,65,"In CISC architecture, instructions are stored in:",CMOS,Register,Memory,Diode,c,"Instructions stored in memory."
Set5,66,Nepal Engineering Council (NEC) is a:,Private organization,Government body,Autonomous statutory body,NGO,c,"Autonomous statutory body."
Set5,67,Fuzzy logic produces:,One output,Two outputs,Multiple outputs,No output,a,"Typically one crisp output."
Set5,68,Fuzzy logic is based on:,Boolean logic,Probabilistic logic,Approximate reasoning,Binary logic,c,"Approximate reasoning."
Set5,69,Diagram used to transform use-case into behavior is:,Class diagram,Sequence diagram,ER diagram,Component diagram,b,"Sequence diagram shows behavior."
Set5,70,"Log record (Ti, X, V1, V2) represents:",Transaction ID and variable update,Old and new value of data item,Commit record,Abort record,b,"Undo/redo information."
Set5,71,Syntax of a pure virtual function is:,"virtual void f();","void f() = 0;","virtual void f() = 0;","void virtual f() = 0;",c,"virtual return_type f() = 0;"
Set5,72,RGB pixel value range is:,0-4,0-127,0-255,0-1024,c,"0-255 per channel."
Set5,73,Which is NOT required in 2D viewing transformation?,Translation,Scaling,Rotation,Projection,d,"Projection is 3D, not 2D."
Set5,74,Matrix size used for 3D transformations is:,2x2,3x3,4x4,5x5,c,"4x4 homogeneous matrix."
Set5,75,Fastest and most expensive memory is:,Cache,RAM,Register,ROM,c,"Registers are fastest but expensive? Cache is larger; registers are fastest but limited. Source says Register."
